iter	Passed	Remaining
401	17037	67725
402	17076	67671
403	17118	67626
404	17159	67576
405	17199	67527
406	17239	67474
407	17281	67433
408	17320	67377
409	17359	67322
410	17399	67269
411	17444	67237
412	17486	67192
413	17530	67158
414	17573	67118
415	17612	67064
416	17651	67006
417	17692	66959
418	17732	66909
419	17773	66861
420	17815	66818
421	17855	66768
422	17895	66716
423	17936	66667
424	17976	66619
425	18017	66572
426	18057	66522
427	18097	66468
428	18136	66414
429	18175	66362
430	18214	66308
431	18254	66258
432	18293	66202
433	18333	66152
434	18373	66103
435	18415	66057
436	18455	66008
437	18494	65955
438	18535	65907
439	18578	65869
440	18619	65822
441	18659	65772
442	18699	65721
443	18739	65674
444	18780	65624
445	18821	65578
446	18861	65530
447	18901	65481
448	18941	65431
449	18982	65385
450	19022	65332
451	19061	65283
452	19103	65240
453	19145	65196
454	19186	65148
455	19226	65101
456	19266	65051
457	19307	65003
458	19345	64949
459	19392	64924
460	19431	64869
461	19470	64818
462	19523	64810
463	19562	64757
464	19601	64706
465	19643	64663
466	19683	64612
467	19723	64566
468	19762	64511
469	19800	64455
470	19855	64456
471	19895	64408
472	19935	64358
473	19973	64303
474	20016	64262
475	20057	64216
476	20099	64176
477	20145	64145
478	20185	64097
479	20228	64056
480	20282	64052
481	20326	64016
482	20364	63961
483	20403	63909
484	20449	63878
485	20489	63828
486	20528	63776
487	20574	63745
488	20613	63696
489	20654	63648
490	20697	63611
491	20743	63578
492	20784	63533
493	20823	63481
494	20863	63433
495	20903	63384
496	20942	63333
497	20981	63282
498	21022	63237
499	21062	63187
500	21109	63160
501	21147	63104
502	21187	63056
503	21226	63005
504	21267	62960
505	21307	62912
506	21346	62859
507	21386	62811
508	21427	62767
509	21468	62721
510	21509	62675
511	21547	62622
512	21587	62573
513	21625	62521
514	21664	62470
515	21705	62424
516	21747	62381
517	21787	62334
518	21829	62291
519	21868	62240
520	21916	62216
521	21956	62167
522	21997	62122
523	22036	62072
524	22074	62018
525	22126	62003
526	22166	61956
527	22206	61909
528	22250	61871
529	22297	61843
530	22337	61795
531	22376	61745
532	22415	61694
533	22455	61646
534	22493	61594
535	22533	61547
536	22572	61497
537	22621	61472
538	22660	61424
539	22708	61395
540	22747	61347
541	22787	61299
542	22828	61253
543	22867	61204
544	22907	61156
545	22948	61111
546	22988	61064
547	23028	61017
548	23067	60968
549	23107	60918
550	23147	60872
551	23186	60823
552	23226	60774
553	23265	60726
554	23306	60679
555	23345	60630
556	23384	60581
557	23432	60555
558	23472	60508
559	23512	60460
560	23554	60417
561	23594	60371
562	23633	60321
563	23672	60273
564	23712	60224
565	23750	60174
566	23788	60121
567	23827	60072
568	23876	60048
569	23918	60004
570	23958	59960
571	24015	59954
572	24056	59910
573	24095	59860
574	24135	59814
575	24176	59770
576	24216	59723
577	24258	59681
578	24297	59632
579	24336	59583
580	24377	59537
581	24419	59495
582	24459	59449
583	24498	59400
584	24538	59354
585	24583	59318
586	24621	59268
587	24660	59218
588	24703	59179
589	24745	59136
590	24785	59090
591	24828	59050
592	24869	59007
593	24912	58967
594	24962	58944
595	25006	58908
596	25055	58882
597	25096	58837
598	25135	58789
599	25177	58748
600	25230	58731
601	25276	58697
602	25315	58650
603	25354	58600
604	25396	58558
605	25435	58511
606	25489	58494
607	25530	58451
608	25571	58407
609	25612	58362
610	25653	58318
611	25694	58274
612	25732	58224
613	25773	58178
614	25815	58137
615	25867	58117
616	25904	58065
617	25944	58018
618	25990	57984
619	26032	57943
620	26072	57896
621	26112	57851
622	26152	57803
623	26191	57756
624	26231	57710
625	26279	57679
626	26318	57632
627	26358	57585
628	26399	57542
629	26440	57498
630	26485	57461
631	26526	57417
632	26568	57376
633	26610	57333
634	26650	57288
635	26689	57240
636	26729	57194
637	26771	57150
638	26812	57107
639	26851	57059
